Date,TemperatureRessentie
2024-10-07,31.06
2024-10-07,27.74
2024-10-07,22.08
2024-10-07,17.08
2024-10-07,21.83
2024-10-07,30.93
2024-10-07,27.65
2024-10-07,22.21
2024-10-07,26.19
2024-10-08,35.78
2024-10-08,36.41
2024-10-08,34.26
2024-10-08,32.24
2024-10-08,29.74
2024-10-08,29.42
2024-10-08,33.5
2024-10-08,42.7
2024-10-08,51.16
2024-10-08,46.92
2024-10-08,37.5
2024-10-08,34.35
2024-10-08,35.48
2024-10-08,34.53
2024-10-08,31.16
2024-10-08,29.64
2024-10-08,27.52
2024-10-08,22.07
2024-10-08,16.63
2024-10-08,18.71
2024-10-08,20.79
2024-10-08,18.46
2024-10-08,17.1
2024-10-08,18.61
2024-10-09,23.3
2024-10-09,22.5
2024-10-09,21.63
2024-10-09,22.07
2024-10-09,21.4
2024-10-09,22.63
2024-10-09,25.8
2024-10-09,23.75
2024-10-09,27.65
2024-10-09,30.71
2024-10-09,29.6
2024-10-09,30.46
2024-10-09,31.09
2024-10-09,29.63
2024-10-09,26.93
2024-10-09,23.98
2024-10-09,21.72
2024-10-09,18.86
2024-10-09,14.89
2024-10-09,14.65
2024-10-09,13.9
2024-10-09,15.18
2024-10-09,18.1
2024-10-09,17.07
2024-10-10,17.0
2024-10-10,17.42
2024-10-10,16.49
2024-10-10,14.59
2024-10-10,14.01
2024-10-10,14.93
2024-10-10,15.87
2024-10-10,19.13
2024-10-10,26.06
2024-10-10,27.92
2024-10-10,23.76
2024-10-10,23.15
2024-10-10,24.61
2024-10-10,25.18
2024-10-10,22.23
2024-10-10,17.19
2024-10-10,15.32
2024-10-10,13.5
2024-10-10,8.01
2024-10-10,7.04
2024-10-10,8.88
2024-10-10,11.67
2024-10-10,15.36
2024-10-10,17.79
2024-10-11,19.35
2024-10-11,18.17
2024-10-11,14.07
2024-10-11,12.25
2024-10-11,13.99
2024-10-11,15.11
2024-10-11,14.91
2024-10-11,17.75
2024-10-11,23.54
2024-10-11,28.4
2024-10-11,27.26
2024-10-11,25.51
2024-10-11,25.59
2024-10-11,26.43
2024-10-11,24.84
2024-10-11,20.52
2024-10-11,17.67
2024-10-11,13.36
2024-10-11,8.49
2024-10-11,10.38
2024-10-11,14.89
2024-10-11,17.36
2024-10-11,17.28
2024-10-11,17.47
2024-10-12,18.57
2024-10-12,19.06
2024-10-12,15.75
2024-10-12,13.85
2024-10-12,16.11
2024-10-12,17.61
2024-10-12,19.11
2024-10-12,23.79
2024-10-12,30.72
2024-10-12,31.45
2024-10-12,26.11
2024-10-12,24.38
2024-10-12,24.83
2024-10-12,24.9
2024-10-12,24.31
2024-10-12,20.63
2024-10-12,16.92
2024-10-12,14.15
2024-10-12,10.1
2024-10-12,9.68
2024-10-12,11.04
2024-10-12,12.44
2024-10-12,15.32
2024-10-12,16.28
2024-10-13,13.4
2024-10-13,12.35
2024-10-13,11.89
2024-10-13,13.05
2024-10-13,15.91
2024-10-13,12.85
2024-10-13,10.27
2024-10-13,14.98
2024-10-13,21.69
2024-10-13,25.99
2024-10-13,24.25
2024-10-13,23.58
2024-10-13,24.21
2024-10-13,22.57
2024-10-13,22.37
2024-10-13,21.81
2024-10-13,20.63
2024-10-13,17.76
2024-10-13,12.47
2024-10-13,13.14
2024-10-13,14.47
2024-10-13,14.97
2024-10-13,17.3
2024-10-13,15.62
2024-10-14,13.99
2024-10-14,13.53
2024-10-14,13.12
2024-10-14,15.02
2024-10-14,16.01
2024-10-14,15.16
2024-10-14,18.05
2024-10-14,25.54
2024-10-14,30.67
2024-10-14,32.78
2024-10-14,29.94
2024-10-14,30.2
2024-10-14,30.68
2024-10-14,28.89
2024-10-14,28.92
2024-10-14,29.69
2024-10-14,31.24
2024-10-14,30.3
2024-10-14,26.03
2024-10-14,25.69
2024-10-14,30.86
2024-10-14,31.57
2024-10-14,30.92
2024-10-14,31.75
2024-10-15,32.37
2024-10-15,33.84
2024-10-15,31.09
2024-10-15,31.97
2024-10-15,35.06
2024-10-15,36.3
2024-10-15,37.32
2024-10-15,40.98
2024-10-15,45.47
2024-10-15,43.84
2024-10-15,40.47
2024-10-15,41.71
2024-10-15,41.38
2024-10-15,40.58
2024-10-15,40.71
2024-10-15,38.47
2024-10-15,38.31
2024-10-15,37.99
2024-10-15,36.11
2024-10-15,36.17
2024-10-15,36.11
2024-10-15,34.02
2024-10-15,32.11
2024-10-15,27.83
2024-10-16,28.9
2024-10-16,35.39
2024-10-16,32.81
2024-10-16,33.19
2024-10-16,35.87
2024-10-16,34.32
2024-10-16,36.21
2024-10-16,44.67
2024-10-16,48.85
2024-10-16,46.8
2024-10-16,43.13
2024-10-16,42.93
2024-10-16,43.25
2024-10-16,42.05
2024-10-16,39.55
2024-10-16,37.0
2024-10-16,36.09
2024-10-16,36.18
2024-10-16,35.46
2024-10-16,36.35
2024-10-16,35.26
2024-10-16,35.23
2024-10-16,36.2
2024-10-16,36.26
2024-10-17,36.03
2024-10-17,35.85
2024-10-17,35.75
2024-10-17,34.55
2024-10-17,32.84
2024-10-17,32.56
2024-10-17,35.56
2024-10-17,40.41
2024-10-17,46.18
2024-10-17,44.89
2024-10-17,40.54
2024-10-17,41.86
2024-10-17,43.53
2024-10-17,43.08
2024-10-17,40.04
2024-10-17,36.55
2024-10-17,36.41
2024-10-17,36.2
2024-10-17,34.03
2024-10-17,34.58
2024-10-17,34.77
2024-10-17,35.14
2024-10-17,36.13
2024-10-17,36.09
2024-10-18,35.69
2024-10-18,35.67
2024-10-18,35.68
2024-10-18,35.66
2024-10-18,36.0
2024-10-18,36.02
2024-10-18,35.73
2024-10-18,32.69
2024-10-18,29.51
2024-10-18,29.13
2024-10-18,28.28
2024-10-18,28.6
2024-10-18,27.78
2024-10-18,24.57
2024-10-18,22.46
2024-10-18,25.42
2024-10-18,28.22
2024-10-18,29.19
2024-10-18,30.78
2024-10-18,31.96
2024-10-18,35.04
2024-10-18,36.16
2024-10-18,36.17
2024-10-18,35.23
2024-10-19,34.57
2024-10-19,35.29
2024-10-19,36.04
2024-10-19,36.19
2024-10-19,36.17
2024-10-19,36.19
2024-10-19,37.26
2024-10-19,42.4
2024-10-19,44.68
2024-10-19,40.68
2024-10-19,37.08
2024-10-19,37.97
2024-10-19,37.78
2024-10-19,38.22
2024-10-19,37.24
2024-10-19,37.01
2024-10-19,39.64
2024-10-19,39.26
